"Line Number","Product Part","Product Name","Start Date","End Date","Net Unit Price","Max Quantity","UOM","Net Unit Price UOM","Active"
"1.151","B88856","Oracle Cloud Infrastructure - Database Exadata Quarter Rack - X6 - BYOL - Hosted Environment Per Hour","10-01-2020","09-30-2025",18.30970000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.179","B88887","Oracle Blockchain Platform Cloud Service - 500 Transactions Per Hour","10-01-2020","09-30-2025",0.26950000,,"500 TRANSACTIONS PER HOUR","Monthly","true"
"1.152","B89039","Oracle Autonomous Data Warehouse - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.17380000,,"OCPU PER HOUR","Monthly","true"
"1.180","B89040","Oracle Autonomous Data Warehouse - OCPU Per Hour","10-01-2020","09-30-2025",0.90530000,,"OCPU PER HOUR","Monthly","true"
"1.233","B89041","Oracle Autonomous Data Warehouse - Exadata Storage - Terabyte Storage Capacity Per Month","10-01-2020","09-30-2025",79.75130000,,"TB STORAGE CAP PER MONTH","Monthly","true"
"1.234","B89057","Oracle Cloud Infrastructure - File Storage - Gigabyte Storage Capacity per Month","10-01-2020","09-30-2025",0.16160000,,"GB STORAGE CAP PER MO","Monthly","true"
"1.153","B89161","Oracle Management Cloud - Standard Edition - 100 Entities Per Hour","10-01-2020","09-30-2025",0.45270000,,"100 ENTITIES PER HOUR","Monthly","true"
"1.235","B89162","Oracle Management Cloud - Enterprise Edition - 100 Entities Per Hour","10-01-2020","09-30-2025",0.90530000,,"100 ENTITIES PER HOUR","Monthly","true"
"1.247","B89163","Oracle Management Cloud - Log Analytics Edition - 300 Gigabytes Per Hour","10-01-2020","09-30-2025",0.21730000,,"300 GIGABYTES PER HOUR","Monthly","true"
"1.181","B89476","Oracle CASB for Discovery - User per Month","10-01-2020","09-30-2025",0.44720000,,"USER PER MONTH","Monthly","true"
"1.154","B89480","Oracle CASB for Data Protection - Data Loss Prevention - Monitored Service User per Hour","10-01-2020","09-30-2025",0.00150000,,"MONITORED SERVICE USER PH","Monthly","true"
"1.182","B89481","Oracle CASB for Data Protection - Data Loss Prevention - Retroactive Scan - Gigabyte Data Capacity per Hour","10-01-2020","09-30-2025",1.07770000,,"GB DATA CAPACITY PER HOUR","Monthly","true"
"1.183","B89621","Oracle Cloud Infrastructure - Database Standard Edition - Dense I/O - X7 - Hosted Environment Per Hour","10-01-2020","09-30-2025",3.86040000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.248","B89622","Oracle Cloud Infrastructure - Database Enterprise Edition - Dense I/O - X7 - Hosted Environment Per Hour","10-01-2020","09-30-2025",4.15010000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.113","B89623","Oracle Cloud Infrastructure - Database Enterprise Edition High Performance - Dense I/O - X7 - Hosted Environment Per Hour","10-01-2020","09-30-2025",4.76570000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.202","B89624","Oracle Cloud Infrastructure - Database Enterprise Edition Extreme Performance - Dense I/O - X7 - Hosted Environment Per Hour","10-01-2020","09-30-2025",5.38130000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.192","B89625","Oracle Cloud Infrastructure - Database All Editions - Dense I/O - X7 - BYOL - Hosted Environment Per Hour","10-01-2020","09-30-2025",3.77930000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.249","B89630","Oracle Analytics Cloud - Professional - OCPU Per Hour","10-01-2020","09-30-2025",0.72430000,,"OCPU PER HOUR","Monthly","true"
"1.092","B89631","Oracle Analytics Cloud - Enterprise - OCPU Per Hour","10-01-2020","09-30-2025",1.44860000,,"OCPU PER HOUR","Monthly","true"
"1.250","B89636","Oracle Analytics Cloud - Professional - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.17380000,,"OCPU PER HOUR","Monthly","true"
"1.093","B89637","Oracle Analytics Cloud - Enterprise - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.17380000,,"OCPU PER HOUR","Monthly","true"
"1.094","B89639","Oracle Integration Cloud Service - Standard - 5K Messages Per Hour","10-01-2020","09-30-2025",0.43460000,,"5K MESSAGES PER HOUR","Monthly","true"
"1.251","B89640","Oracle Integration Cloud Service - Enterprise - 5K Messages Per Hour","10-01-2020","09-30-2025",0.86920000,,"5K MESSAGES PER HOUR","Monthly","true"
"1.193","B89643","Oracle Integration Cloud Service - Standard - BYOL - 20K Messages Per Hour","10-01-2020","09-30-2025",0.17380000,,"20K MESSAGES PER HOUR","Monthly","true"
"1.194","B89644","Oracle Integration Cloud Service - Enterprise - BYOL - 20K Messages Per Hour","10-01-2020","09-30-2025",0.17380000,,"20K MESSAGES PER HOUR","Monthly","true"
"1.184","B89646","Oracle Visual Builder - OCPU Per Hour","10-01-2020","09-30-2025",0.83290000,,"OCPU PER HOUR","Monthly","true"
"1.185","B89652","Oracle API Platform Cloud Service - Gateway Per Hour","10-01-2020","09-30-2025",0.72430000,,"GATEWAY PER HOUR","Monthly","true"
"1.204","B89654","Oracle Data Integration Platform Cloud Service - Standard - Gigabyte of Data Processed Per Hour","10-01-2020","09-30-2025",0.43460000,,"GB DATA PROCESS PER HOUR","Monthly","true"
"1.195","B89655","Oracle Data Integration Platform Cloud Service - Enterprise - Gigabyte of Data Processed Per Hour","10-01-2020","09-30-2025",0.86920000,,"GB DATA PROCESS PER HOUR","Monthly","true"
"1.203","B89656","Oracle Data Integration Platform Cloud Service - Governance - Gigabyte of Data Processed Per Hour","10-01-2020","09-30-2025",1.30370000,,"GB DATA PROCESS PER HOUR","Monthly","true"
"1.095","B89660","Oracle Data Integration Platform Cloud Service - Standard - BYOL - Gigabyte of Data Processed Per Hour","10-01-2020","09-30-2025",0.17380000,,"GB DATA PROCESS PER HOUR","Monthly","true"
"1.070","B89661","Oracle Data Integration Platform Cloud Service - Enterprise - BYOL - Gigabyte of Data Processed Per Hour","10-01-2020","09-30-2025",0.17380000,,"GB DATA PROCESS PER HOUR","Monthly","true"
"1.071","B89662","Oracle Data Integration Platform Cloud Service - Governance - BYOL - Gigabyte of Data Processed Per Hour","10-01-2020","09-30-2025",0.17380000,,"GB DATA PROCESS PER HOUR","Monthly","true"
"1.072","B89734","Oracle Cloud Infrastructure - Compute - GPU Standard - V2 - GPU Per Hour","10-01-2020","09-30-2025",1.58960000,,"GPU PER HOUR","Monthly","true"
"1.114","B89737","Oracle NoSQL Database Cloud Service - Write - Write Unit Per Month","10-01-2020","09-30-2025",0.16880000,,"WRITE UNIT PER MONTH","Monthly","true"
"1.196","B89738","Oracle NoSQL Database Cloud Service - Read - Read Unit Per Month","10-01-2020","09-30-2025",0.00810000,,"READ UNIT PER MONTH","Monthly","true"
"1.186","B89739","Oracle NoSQL Database Cloud Service - Storage - Gigabyte Storage Capacity Per Month","10-01-2020","09-30-2025",0.08980000,,"GB STORAGE CAP PER MO","Monthly","true"
"1.155","B89969","Oracle Content and Experience Cloud Service - Standard - Active User Per Hour","10-01-2020","09-30-2025",0.05390000,,"ACTIVE USER PER HOUR","Monthly","true"
"1.115","B89970","Oracle Content and Experience Cloud Service - Enterprise - Active User Per Hour","10-01-2020","09-30-2025",0.16160000,,"ACTIVE USER PER HOUR","Monthly","true"
"1.073","B89971","Oracle Content and Experience Cloud Service - Visitor - Active User Per Hour","10-01-2020","09-30-2025",0.00360000,,"ACTIVE USER PER HOUR","Monthly","true"
"1.116","B89980","Oracle Database Exadata Cloud at Customer - Database OCPU - OCPU Per Hour","10-01-2020","09-30-2025",0.90530000,,"OCPU PER HOUR","Monthly","true"
"1.129","B89981","Oracle Database Exadata Cloud at Customer - Database OCPU - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.17380000,,"OCPU PER HOUR","Monthly","true"
"1.156","B89999","Oracle Cloud Infrastructure - Database Exadata Infrastructure - Quarter Rack - X7 - Hosted Environment Per Hour","10-01-2020","09-30-2025",14.48550000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.074","B90000","Oracle Cloud Infrastructure - Database Exadata Infrastructure - Half Rack - X7 - Hosted Environment Per Hour","10-01-2020","09-30-2025",28.97090000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.130","B90001","Oracle Cloud Infrastructure - Database Exadata Infrastructure - Full Rack - X7 - Hosted Environment Per Hour","10-01-2020","09-30-2025",57.94190000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.197","B90203","Oracle Visual Builder Studio - Additional Storage - Gigabyte Storage Capacity Per Month","10-01-2020","09-30-2025",1.07770000,,"GB STORAGE CAP PER MO","Monthly","true"
"1.117","B90230","Oracle Database Backup Cloud - Object Storage - Gigabyte Storage Capacity Per Month","10-01-2020","09-30-2025",0.00340000,,"GB STORAGE CAP PER MO","Monthly","true"
"1.075","B90231","Oracle Database Backup Cloud - Archive Storage - Gigabyte Storage Capacity Per Month","10-01-2020","09-30-2025",0.00030000,,"GB STORAGE CAP PER MO","Monthly","true"
"1.131","B90260","Oracle Digital Assistant Cloud Service - Request","10-01-2020","09-30-2025",0.01580000,,"REQUEST","Monthly","true"
"1.205","B90304","Oracle Mobile Hub Cloud Service - Request","10-01-2020","09-30-2025",0.00190000,,"REQUEST","Monthly","true"
"1.132","B90323","Oracle Cloud Infrastructure - Health Checks - Basic - Endpoints Per Month","10-01-2020","09-30-2025",0.16160000,,"ENDPOINTS PER MONTH","Monthly","true"
"1.076","B90325","Oracle Cloud Infrastructure - Health Checks - Premium - Endpoints Per Month","10-01-2020","09-30-2025",0.70050000,,"ENDPOINTS PER MONTH","Monthly","true"
"1.077","B90327","Oracle Cloud Infrastructure - DNS Traffic Management - 1,000,000 DNS Traffic Management Queries","10-01-2020","09-30-2025",2.15540000,,"1M DNS TRAF MGMT QUR","Monthly","true"
"1.078","B90328","Oracle Cloud Infrastructure - Key Management - Virtual Private Vault Per Hour","10-01-2020","09-30-2025",2.50850000,,"VIRTUAL PRIVATE VAULT PH","Monthly","true"
"1.252","B90329","Oracle Cloud Infrastructure - Web Application Firewall - Requests - 1,000,000 Incoming Requests","10-01-2020","09-30-2025",0.32330000,,"1M INCG REQ","Monthly","true"
"1.133","B90330","Oracle Cloud Infrastructure - Web Application Firewall - Good Traffic - Gigabyte Of Good Traffic","10-01-2020","09-30-2025",0.08080000,,"GB OF GOOD TRAF","Monthly","true"
"1.134","B90332","Oracle Cloud Infrastructure - Web Application Firewall - Bot Management - 1,000,000 Incoming Requests","10-01-2020","09-30-2025",2.15540000,,"1M INCG REQ","Monthly","true"
"1.198","B90398","Oracle Cloud Infrastructure - Compute - HPC - X7 - OCPU Per Hour","10-01-2020","09-30-2025",0.04040000,,"OCPU PER HOUR","Monthly","true"
"1.158","B90425","Oracle Cloud Infrastructure - Compute - Standard - E2 - OCPU Per Hour","10-01-2020","09-30-2025",0.01610000,,"OCPU PER HOUR","Monthly","true"
"1.206","B90453","Oracle Autonomous Transaction Processing - OCPU Per Hour","10-01-2020","09-30-2025",0.90530000,,"OCPU PER HOUR","Monthly","true"
"1.096","B90454","Oracle Autonomous Transaction Processing - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.17380000,,"OCPU PER HOUR","Monthly","true"
